pid,kicker,kgro,knet,ktb,kr,kry
1,MA-0700,65,44,0,KW-1500,21
11,WR-0500,72,15,0,DV-0200,57
18,MA-0700,65,54,0,KW-1500,11
35,MA-0700,70,50,1,,0
53,MA-0700,72,48,0,KW-1500,24
65,MA-0700,64,46,0,TJ-1100,18
77,MA-0700,69,50,0,JS-6900,19
87,WR-0500,58,53,0,TD-2500,5
96,WR-0500,78,30,0,TD-2500,48
100,MA-0700,70,50,1,,0
113,WR-0500,71,50,0,TD-2500,21
124,MA-0700,70,50,1,,0
160,WR-0500,46,32,0,BK-1100,14
167,PD-0200,70,50,1,,0
208,SL-0600,60,38,0,JW-2500,22
228,PD-0200,66,42,0,RB-1100,24
242,SL-0600,64,53,0,JW-2500,11
245,SL-0600,71,53,0,JW-2500,18
262,SL-0600,70,50,1,,0
278,SL-0600,72,53,0,DP-0500,19
301,SL-0600,69,50,0,DP-0500,19
314,DA-0300,12,12,0,,0
325,DA-0300,71,52,0,JT-3900,19
353,DA-0300,71,42,0,JT-3900,29
358,DA-0300,67,41,0,JT-3900,26
376,DA-0300,67,45,0,JT-3900,22
388,MK-1100,69,40,0,BM-3300,29
402,MK-1100,70,50,1,,0
417,DA-0300,61,39,0,JT-3900,22
433,DA-0300,70,50,1,,0
441,DA-0300,66,30,0,,0
458,MK-1100,12,12,0,,0
478,JH-0500,71,43,0,AR-1700,28
494,RL-1300,59,45,0,AG-0800,14
511,JH-0500,71,43,0,AR-1700,28
542,RL-1300,70,46,0,LC-0800,24
564,JH-0500,64,38,0,BM-3100,26
566,RL-1300,30,8,0,AG-0800,22
596,RL-1300,65,50,0,AG-0800,15
619,JH-0500,49,36,0,MM-5400,13
627,RL-1300,61,44,0,LC-0800,17
635,JH-0500,60,39,0,AR-1700,21
650,DK-0500,70,50,1,,0
688,DK-0500,70,43,0,MC-1600,27
711,TS-0500,64,43,0,PW-1100,21
729,TS-0500,70,50,1,,0
745,DK-0500,70,46,0,MC-1600,24
757,TS-0500,63,51,0,PW-1100,12
776,DK-0500,71,53,0,MC-1600,18
781,DK-0500,68,50,0,MC-1600,18
800,DK-0500,62,38,0,MC-1600,24
814,KH-1500,66,40,0,BM-0200,26
829,OM-0100,59,48,0,CR-1500,11
843,OM-0100,62,51,0,CR-1500,11
852,OM-0100,64,50,0,CR-1500,14
860,OM-0100,67,34,0,CR-1500,33
886,OM-0100,70,49,0,CR-1500,21
890,OM-0100,63,45,0,CR-1500,18
961,PE-0100,63,42,0,TC-1100,21
970,MB-2100,72,48,0,GM-1100,24
983,PE-0100,63,43,0,TC-1100,20
991,MB-2100,65,44,0,GM-1100,21
1020,PE-0100,67,29,0,TC-1100,38
1028,MB-2100,68,37,0,GM-1100,31
1041,PE-0100,71,50,0,TC-1100,21
1043,MB-2100,68,44,0,GM-1100,24
1053,PE-0100,66,42,0,TC-1100,24
1064,MB-2100,65,48,0,GM-1100,17
1088,MB-2100,70,36,0,GM-1100,34
1105,MB-2100,69,45,0,GM-1100,24
1118,PE-0100,15,15,0,,0
1122,AV-0400,72,42,0,KW-1100,30
1130,AV-0400,70,37,0,KW-1100,33
1169,MG-1200,64,24,0,KF-0200,40
1179,AV-0400,56,31,0,KW-1100,25
1199,MG-1200,72,45,0,KF-0200,27
1204,MG-1200,70,50,1,,0
1236,MG-1200,63,45,0,KF-0200,18
1277,AV-0400,75,55,1,,0
1292,TG-1500,59,41,0,DH-4200,18
1308,TG-1500,65,50,0,DH-4200,15
1352,JH-0900,70,55,0,CM-3100,15
1363,JH-0900,74,51,0,CM-3100,23
1376,JH-0900,71,49,0,CM-3100,22
1409,JH-0900,66,21,0,CM-3100,45
1417,TG-1500,72,55,0,DH-4200,17
1457,BD-0100,69,40,0,MJ-0700,29
1493,BD-0100,65,36,0,MJ-0700,29
1511,BD-0100,65,41,0,MJ-0700,24
1540,CB-1700,58,23,0,RD-1200,35
1574,CB-1700,60,40,0,RD-1200,20
1591,BD-0100,60,50,0,MJ-0700,10
1611,CB-1700,13,13,0,,0
1622,CB-1700,23,30,0,,0
1624,JC-0900,67,44,0,NK-0600,23
1712,SJ-0300,67,41,0,RJ-0700,26
1730,DB-1500,52,35,0,DG-1800,17
1767,JC-0900,64,39,0,NK-0600,25
1786,SJ-0300,74,54,1,,0
1794,MS-5200,60,35,0,HP-0100,25
1813,MS-5200,72,49,0,HW-0100,23
1821,MS-5200,70,50,1,,0
1867,KB-2300,60,22,0,QI-0100,38
1876,MS-5200,70,50,1,,0
1950,RC-2900,66,49,0,JT-2800,17
1964,BC-2300,62,-30,0,MB-1000,92
1966,RC-2900,65,43,0,JT-2800,22
1981,RC-2900,61,47,0,JT-2800,14
2037,BC-2300,64,39,0,DB-5900,25
2055,BC-2300,68,44,0,MB-1000,24
2077,BC-2300,65,-25,0,MB-1000,90
2092,BC-2300,61,35,0,MB-1000,26
2103,RC-2900,16,16,0,,0
2107,CH-2900,67,56,0,CW-0900,11
2149,SC-0700,64,44,0,DM-0500,20
2167,CH-2900,58,46,0,CW-0900,12
2186,CH-2900,56,44,0,CW-0900,12
2188,SC-0700,21,-3,0,DM-0500,24
2219,SC-0700,70,37,0,DM-0500,33
2231,SC-0700,62,5,0,DM-0500,57
2247,CH-2900,70,50,1,,0
2274,SC-0700,73,21,0,DM-0500,52
2278,JE-0200,67,51,0,TH-2600,16
2290,JE-0200,69,23,0,TH-2600,46
2306,JW-3300,60,40,0,DO-0200,20
2316,JE-0200,65,59,0,TH-2600,6
2327,JW-3300,79,59,1,,0
2339,JE-0200,62,47,0,TH-2600,15
2350,JW-3300,72,46,0,DO-0200,26
2352,JW-3300,67,55,0,DO-0200,12
2363,JE-0200,55,55,0,,0
2367,JW-3300,73,54,0,DO-0200,19
2381,JW-3300,58,37,0,DO-0200,21
2390,JE-0200,66,55,0,TH-2600,11
2409,JE-0200,63,44,0,TH-2600,19
2413,JE-0200,60,45,0,TH-2600,15
2423,JW-3300,75,55,1,,0
2431,MS-5200,62,35,0,RB-1100,27
2440,SL-0600,64,51,0,QI-0100,13
2452,SL-0600,65,46,0,CH-1800,19
2467,SL-0600,61,41,0,CH-1800,20
2477,MS-5200,57,27,0,SS-2900,30
2505,SL-0600,72,50,0,CH-1800,22
2518,SL-0600,72,50,0,CH-1800,22
2523,SL-0600,66,38,0,CH-1800,28
2529,MS-5200,57,47,0,RB-1100,10
2550,SL-0600,67,46,0,CH-1800,21
2564,MS-5200,54,24,0,SS-2900,30
2582,MS-5200,70,50,1,,0
2590,MS-5200,77,57,1,,0
2600,SL-0600,66,45,0,CH-1800,21
2610,SL-0600,52,45,0,PH-0600,7
2619,MS-5200,63,42,0,RB-1100,21
2624,SC-0700,70,57,0,AR-1700,13
2686,SC-0700,65,24,0,AR-1700,41
2692,RL-1300,60,35,0,CW-0900,25
2699,SC-0700,70,50,1,,0
2708,RL-1300,54,37,0,JL-2100,17
2718,SC-0700,66,50,0,AR-1700,16
2730,RL-1300,60,23,0,CW-0900,37
2741,SC-0700,64,40,0,AR-1700,24
2780,RL-1300,7,3,0,HJ-0100,4
2782,NR-0100,68,46,0,DP-0500,22
2812,PD-0200,62,48,0,TM-0100,14
2824,NR-0100,63,43,0,JW-2500,20
2834,PD-0200,68,18,0,TM-0100,50
2870,PD-0200,72,48,0,TM-0100,24
2887,PD-0200,71,36,0,TM-0100,35
2913,PD-0200,52,52,0,NL-0600,0
2951,JE-0200,68,50,0,TD-2500,18
2969,JE-0200,73,54,0,TD-2500,19
2974,JE-0200,68,44,0,TD-2500,24
2988,JE-0200,70,39,0,TD-2500,31
3002,JE-0200,71,41,0,TD-2500,30
3015,JE-0200,66,39,0,TD-2500,27
3037,JE-0200,70,-30,0,DV-0200,100
3039,MA-0700,71,50,0,DO-0200,21
3042,MA-0700,70,53,0,CC-3300,17
3053,TR-0900,44,36,0,BK-1100,8
3074,MA-0700,70,50,1,,0
3116,BC-2300,68,51,0,DH-4200,17
3130,JH-0900,77,57,1,,0
3155,JH-0900,69,45,0,JT-2800,24
3172,BC-2300,75,55,1,,0
3188,JH-0900,75,55,1,,0
3206,JH-0900,69,41,0,JT-2800,28
3215,BC-2300,65,21,0,DH-4200,44
3227,JH-0900,68,19,0,JT-2800,49
3241,JH-0900,71,40,0,JT-2800,31
3264,SJ-0300,70,50,1,,0
3277,DK-0500,67,44,0,NK-0600,23
3291,DK-0500,67,53,0,NK-0600,14
3312,DK-0500,70,50,1,,0
3334,SJ-0300,70,50,1,,0
3348,DK-0500,57,37,0,NK-0600,20
3349,DK-0500,67,47,0,NK-0600,20
3359,SJ-0300,70,58,0,PW-1100,12
3368,SJ-0300,70,51,0,MM-5600,19
3377,SJ-0300,71,45,0,MM-5600,26
3388,SJ-0300,70,47,0,PW-1100,23
3408,SJ-0300,70,50,1,,0
3416,DK-0500,70,50,1,,0
3434,OM-0100,70,45,0,TC-1100,25
3459,MB-2100,64,56,0,BM-0200,8
3501,MB-2100,68,39,0,BM-0200,29
3548,MB-2100,72,27,0,BM-0200,45
3577,GA-0300,42,36,0,HG-0200,6
3585,OM-0100,6,-9,0,OT-0100,15
3588,DA-0300,72,48,0,RD-1200,24
3614,BD-0100,59,51,0,BM-3300,8
3630,BD-0100,65,31,0,BM-3300,34
3648,DA-0300,69,25,0,RD-1200,44
3659,BD-0100,77,57,1,,0
3668,BD-0100,40,25,0,SP-1800,15
3670,BD-0100,45,30,0,,0
3683,DA-0300,59,37,0,RD-1200,22
3695,BD-0100,62,38,0,BM-3300,24
3704,DA-0300,67,40,0,RD-1200,27
3716,BD-0100,60,43,0,BM-3300,17
3728,BD-0100,57,34,0,BM-3300,23
3739,DA-0300,10,10,0,,0
3743,JC-0900,62,33,0,CM-3100,29
3766,JC-0900,66,46,0,CM-3100,20
3777,TG-1500,64,18,0,RJ-0700,46
3785,JC-0900,62,28,0,CM-3100,34
3809,JC-0900,61,36,0,CM-3100,25
3824,TG-1500,63,63,0,RJ-0700,0
3826,JC-0900,59,37,0,CM-3100,22
3836,TG-1500,72,44,0,RJ-0700,28
3862,TG-1500,72,54,0,RJ-0700,18
3871,TG-1500,63,49,0,RJ-0700,14
3892,JC-0900,68,60,0,CM-3100,8
3906,TG-1500,66,44,0,RJ-0700,22
3912,WR-0500,70,50,1,,0
3925,RC-2900,58,41,0,KW-1500,17
3938,RC-2900,49,45,0,KW-1500,4
3961,RC-2900,64,46,0,KW-1500,18
3977,RC-2900,64,48,0,KW-1500,16
3991,RC-2900,57,41,0,KW-1500,16
4001,WR-0500,40,30,0,CH-3000,10
4010,RC-2900,65,52,0,KW-1500,13
4018,RC-2900,30,30,0,,0
4040,WR-0500,73,53,1,,0
4074,WR-0500,12,12,0,,0
4078,KH-1500,60,38,0,TH-2600,22
4101,KH-1500,63,39,0,TH-2600,24
4112,JW-3300,63,40,0,CR-1500,23
4130,KH-1500,53,39,0,TH-2600,14
4139,JW-3300,65,32,0,CR-1500,33
4157,JW-3300,66,40,0,CR-1500,26
4160,JW-3300,58,32,0,CR-1500,26
4173,KH-1500,63,39,0,TH-2600,24
4184,JW-3300,66,20,0,CR-1500,46
4193,KH-1500,70,50,1,,0
4202,JW-3300,70,50,1,,0
4212,KH-1500,65,41,0,TH-2600,24
4220,JW-3300,63,41,0,CR-1500,22
4230,KH-1500,66,40,0,TH-2600,26
4239,JW-3300,57,41,0,CR-1500,16
4242,PE-0100,78,47,0,AS-3400,31
4290,MG-1200,73,38,0,GM-1100,35
4306,MG-1200,75,53,0,GM-1100,22
4313,MG-1200,63,45,0,GM-1100,18
4318,MG-1200,68,52,0,GM-1100,16
4322,MG-1200,71,38,0,GM-1100,33
4340,MG-1200,75,45,0,GM-1100,30
4347,MG-1200,70,50,1,,0
4376,MG-1200,69,43,0,GM-1100,26
4401,CH-2900,65,41,0,LP-0100,24
4465,CH-2900,57,45,0,LP-0100,12
4475,TS-0500,70,39,0,DM-0500,31
4477,TS-0500,69,30,0,,0
4509,TS-0500,63,30,0,DM-0500,33
4549,CH-2900,71,44,0,LP-0100,27
4559,TS-0500,69,41,0,DM-0500,28
4566,MK-1100,65,38,0,MJ-0700,27
4578,CB-1700,54,39,0,JT-3900,15
4589,MK-1100,69,51,0,MC-1700,18
4607,CB-1700,66,49,0,JT-3900,17
4614,MK-1100,72,36,0,MJ-0700,36
4632,MK-1100,77,57,1,,0
4638,CB-1700,57,43,0,JT-3900,14
4652,MK-1100,66,50,0,MJ-0700,16
4665,CB-1700,61,52,0,JT-3900,9
4671,CB-1700,72,52,1,,0
4685,MK-1100,65,28,0,MJ-0700,37
4695,CB-1700,59,36,0,JT-3900,23
4706,CB-1700,64,45,0,JT-3900,19
4717,AV-0400,67,53,0,DD-2800,14
4729,AV-0400,72,44,0,KW-1300,28
4743,JH-0500,72,50,0,KF-0200,22
4757,AV-0400,67,46,0,DD-2800,21
4763,AV-0400,61,36,0,KW-1300,25
4789,AV-0400,44,44,0,AB-1100,0
4807,JH-0500,67,44,0,KF-0200,23
4855,AV-0400,65,40,0,KW-1300,25
4867,JH-0500,70,50,1,,0
4882,JH-0500,68,38,0,KF-0200,30
4889,RC-2900,57,41,0,DV-0200,16
4903,MA-0700,59,29,0,IB-0300,30
4933,MA-0700,70,50,1,,0
4948,RC-2900,65,43,0,DV-0200,22
4963,RC-2900,56,28,0,DV-0200,28
4965,MA-0700,65,30,0,MB-1000,35
5028,MA-0700,65,43,0,MB-1000,22
5036,KW-0200,52,41,0,WO-0200,11
5040,PE-0100,69,49,1,,0
5050,BD-0100,58,36,0,GM-1100,22
5114,PE-0100,43,34,0,GC-0800,9
5117,BD-0100,65,43,0,GM-1100,22
5143,BD-0100,72,48,0,GM-1100,24
5196,KB-2300,70,32,0,DP-0500,38
5205,PD-0200,66,46,0,HP-0100,20
5220,PD-0200,63,41,0,HP-0100,22
5234,KB-2300,55,50,0,LJ-0300,5
5265,KB-2300,63,37,0,LJ-0300,26
5271,PD-0200,69,12,0,HW-0100,57
5277,KB-2300,67,5,0,DP-0500,62
5285,PD-0200,50,30,1,,0
5295,KB-2300,55,41,0,DP-0500,14
5319,PD-0200,68,47,0,HP-0100,21
5339,PD-0200,57,39,0,HP-0100,18
5349,MG-1200,71,8,0,DH-4200,63
5356,JH-0900,72,52,1,,0
5375,MG-1200,61,32,0,DH-4200,29
5390,MG-1200,64,-6,0,DH-4200,70
5422,MG-1200,65,57,0,DH-4200,8
5438,JH-0900,66,51,0,AS-3400,15
5461,MG-1200,67,44,0,DH-4200,23
5492,MG-1200,70,45,0,DH-4200,25
5509,DA-0300,62,40,0,GB-0400,22
5572,DA-0300,69,45,0,AR-1700,24
5590,RL-1300,68,24,0,BM-3100,44
5613,RL-1300,74,54,1,,0
5667,RL-1300,37,20,0,BM-3100,17
5668,NR-0100,66,44,0,RB-1100,22
5687,SL-0600,65,53,0,TM-0100,12
5692,SL-0600,70,42,0,TM-0100,28
5750,SL-0600,69,45,0,TM-0100,24
5829,SL-0600,70,52,0,TM-0100,18
5839,TS-0500,72,41,0,RJ-0700,31
5855,JC-0900,68,50,0,LP-0100,18
5882,JC-0900,65,39,0,LP-0100,26
5898,TS-0500,67,39,0,RJ-0700,28
5924,TS-0500,67,41,0,RJ-0700,26
5927,JC-0900,69,44,0,KL-1100,25
5949,TS-0500,65,49,0,KB-2900,16
5958,TS-0500,61,40,0,RJ-0700,21
5976,TS-0500,69,42,0,RJ-0700,27
5999,TS-0500,70,47,0,RJ-0700,23
6006,AV-0400,70,43,0,MW-2900,27
6026,MB-2100,54,31,0,KF-0200,23
6034,AV-0400,70,50,1,,0
6055,MB-2100,71,38,0,KF-0200,33
6068,MB-2100,67,30,0,,0
6089,MB-2100,67,35,0,SD-0300,32
6139,AV-0400,68,44,0,TC-1000,24
6172,SC-0700,58,38,0,KW-1300,20
6194,SC-0700,67,-30,0,KW-1300,97
6196,JH-0500,66,50,0,CW-0900,16
6228,JH-0500,63,43,0,CW-0900,20
6249,SC-0700,40,40,0,,0
6258,JH-0500,54,37,0,SM-3400,17
6276,JH-0500,71,39,0,CW-0900,32
6326,JH-0500,64,55,0,CW-0900,9
6338,SJ-0300,39,39,0,,0
6351,JN-0600,64,33,0,NK-0600,31
6354,JN-0600,72,50,0,NK-0600,22
6361,JN-0600,64,44,0,NK-0600,20
6371,SJ-0300,69,32,0,CC-3300,37
6380,JN-0600,60,41,0,DD-2900,19
6388,SJ-0300,64,51,0,BM-2200,13
6395,SJ-0300,67,46,0,CC-3300,21
6401,SJ-0300,65,39,0,CC-3300,26
6420,JN-0600,66,43,0,DD-2900,23
6443,JN-0600,76,56,1,,0
6458,JN-0600,65,36,0,DD-2900,29
6476,JN-0600,62,45,0,DD-2900,17
6487,KH-1500,71,46,0,CM-3100,25
6503,KH-1500,61,42,0,CM-3100,19
6521,TG-1500,56,50,0,JW-4000,6
6548,TG-1500,68,28,0,JW-4000,40
6555,TG-1500,62,32,0,JW-4000,30
6571,KH-1500,70,38,0,CM-3100,32
6600,KH-1500,64,41,0,CM-3100,23
6613,KH-1500,65,39,0,CM-3100,26
6630,WR-0500,62,45,0,LF-0300,17
6634,WR-0500,66,50,0,TH-2600,16
6642,JW-3300,60,40,0,TJ-1100,20
6675,WR-0500,71,52,0,TH-2600,19
6692,JW-3300,71,44,0,TJ-1100,27
6699,WR-0500,72,48,0,TH-2600,24
6702,JW-3300,74,54,1,,0
6709,JW-3300,33,13,1,,0
6726,JW-3300,79,59,1,,0
6744,JW-3300,70,50,1,,0
6754,WR-0500,75,55,1,,0
6764,JW-3300,68,42,0,TJ-1100,26
6781,JW-3300,47,34,0,JM-4200,13
6788,OM-0100,59,44,0,CH-1800,15
6811,OM-0100,59,34,0,CH-1800,25
6826,OM-0100,47,30,0,KW-0600,17
6861,MS-5200,60,31,0,BM-0200,29
6868,OM-0100,66,47,0,CH-1800,19
6882,MS-5200,63,50,0,BM-0200,13
6892,OM-0100,60,40,0,CH-1800,20
6901,MS-5200,45,30,0,,0
6925,MK-1100,77,57,1,,0
6943,MH-3900,63,43,0,MW-1600,20
6958,MK-1100,64,46,0,JT-2800,18
6975,MK-1100,71,42,0,JT-2800,29
7006,MH-3900,69,46,0,MW-1600,23
7018,MK-1100,71,50,0,JT-2800,21
7033,MH-3900,66,39,0,MW-1600,27
7060,MK-1100,59,39,0,JT-2800,20
7072,MH-3900,61,42,0,MW-1600,19
7087,MK-1100,69,39,0,JT-2800,30
7097,RL-1300,64,37,0,MJ-0700,27
7123,RL-1300,71,46,0,MJ-0700,25
7137,RL-1300,64,24,0,MJ-0700,40
7148,CB-1700,70,51,0,AR-1700,19
7161,RL-1300,67,42,0,MJ-0700,25
7176,CB-1700,26,6,0,AR-1700,20
7188,RL-1300,74,42,0,MJ-0700,32
7207,RL-1300,65,57,0,MJ-0700,8
7222,RL-1300,66,46,0,MJ-0700,20
7229,RL-1300,70,50,1,,0
7255,JW-3300,73,42,0,DV-0200,31
7266,MA-0700,15,15,0,,0
7277,JW-3300,63,45,0,DV-0200,18
7298,JW-3300,72,54,0,DV-0200,18
7323,MA-0700,70,50,1,,0
7327,JW-3300,70,50,1,,0
7340,MA-0700,70,44,0,TH-2600,26
7348,JW-3300,72,49,0,DV-0200,23
7353,JW-3300,70,50,1,,0
7381,JW-3300,70,50,1,,0
7387,MA-0700,68,36,0,TH-2600,32
7390,JW-3300,70,50,1,,0
7411,NR-0100,58,32,0,CH-1800,26
7424,MS-5200,61,43,0,TM-0100,18
7443,MS-5200,71,49,0,TM-0100,22
7448,MS-5200,70,55,0,DG-2900,15
7478,MS-5200,65,43,0,RH-1500,22
7487,MS-5200,53,42,0,DG-2900,11
7519,MS-5200,67,38,0,DG-2900,29
7550,MS-5200,62,48,0,DG-2900,14
7565,MS-5200,65,49,0,DG-2900,16
7570,JH-0900,73,57,0,GM-1100,16
7595,JH-0900,64,45,0,GM-1100,19
7655,JH-0900,48,48,0,,0
7657,PE-0100,47,32,0,DH-4200,15
7676,PE-0100,60,44,0,DH-4200,16
7697,PE-0100,68,20,0,DH-4200,48
7716,JH-0900,61,33,0,GM-1100,28
7744,WR-0500,67,49,0,MW-1600,18
7779,WR-0500,74,54,1,,0
7789,MK-1100,64,53,0,KW-1500,11
7801,WR-0500,50,42,0,BN-0500,8
7812,WR-0500,70,53,0,MW-1600,17
7818,MK-1100,68,53,0,KW-1500,15
7826,MK-1100,68,44,0,KW-1500,24
7831,WR-0500,69,30,0,,0
7838,WR-0500,72,43,0,MW-1600,29
7863,WR-0500,68,43,0,JT-3900,25
7873,MK-1100,66,47,0,KW-1500,19
7888,WR-0500,69,39,0,JT-3900,30
7894,MK-1100,12,12,0,,0
7903,JN-0600,70,50,1,,0
7916,TS-0500,74,37,0,CC-3300,37
7931,JN-0600,74,52,0,DH-0600,22
7949,JN-0600,74,53,0,DH-0600,21
7956,JN-0600,66,48,0,DH-0600,18
7976,TS-0500,67,47,0,CC-3300,20
7985,JN-0600,67,44,0,DH-0600,23
7996,TS-0500,72,42,0,CC-3300,30
8003,JN-0600,60,36,0,DH-0600,24
8034,TS-0500,71,49,0,CC-3300,22
8051,TS-0500,64,45,0,CC-3300,19
8060,AV-0400,74,54,1,,0
8093,AV-0400,65,40,0,BM-0200,25
8101,OM-0100,69,55,0,KF-0200,14
8133,OM-0100,41,28,0,SD-0300,13
8135,OM-0100,75,55,1,,0
8206,DA-0300,66,47,0,CM-3100,19
8228,TG-1500,64,64,0,,0
8253,DA-0300,66,49,0,CM-3100,17
8257,DA-0300,69,54,0,CM-3100,15
8295,TG-1500,72,41,0,BM-3300,31
8322,DA-0300,63,46,0,CM-3100,17
8371,SJ-0300,66,47,0,DP-0500,19
8384,PD-0200,13,13,0,,0
8393,SJ-0300,75,55,1,,0
8412,SJ-0300,64,51,0,DP-0500,13
8445,SJ-0300,45,33,0,MC-0200,12
8449,SJ-0300,67,50,0,DP-0500,17
8452,PD-0200,77,57,1,,0
8480,PD-0200,77,57,1,,0
8491,SJ-0300,74,54,1,,0
8507,SJ-0300,61,57,0,DP-0500,4
8511,PD-0200,47,33,0,DD-2900,14
8532,CH-2900,63,26,0,TE-0200,37
8543,CH-2900,50,19,0,HW-0100,31
8553,KB-2300,54,40,0,DM-0500,14
8565,CH-2900,65,56,0,TE-0200,9
8579,KB-2300,62,36,0,DM-0500,26
8608,KB-2300,62,46,0,DM-0500,16
8629,CH-2900,59,42,0,HW-0100,17
8647,KB-2300,56,10,0,DM-0500,46
8653,CH-2900,67,36,0,TE-0200,31
8668,KB-2300,52,37,0,LN-0200,15
8689,CH-2900,65,44,0,HW-0100,21
8697,JC-0900,56,35,0,CR-1500,21
8710,KH-1500,58,42,0,RJ-0700,16
8722,JC-0900,62,38,0,CR-1500,24
8728,JC-0900,68,38,0,CR-1500,30
8732,KH-1500,60,60,0,RJ-0700,0
8765,JC-0900,63,43,0,CR-1500,20
8777,KH-1500,62,23,0,KB-2900,39
8782,KH-1500,71,51,0,RJ-0700,20
8801,KH-1500,54,42,0,KB-2900,12
8857,MG-1200,71,47,0,KW-1300,24
8876,MG-1200,74,54,1,,0
8888,JH-0500,71,50,0,AS-3400,21
8903,MG-1200,74,29,0,KW-1300,45
8926,JH-0500,79,59,1,,0
8932,JH-0500,70,35,0,AS-3400,35
8960,MG-1200,72,48,0,KW-1300,24
9005,JH-0500,70,50,1,,0
9011,JH-0500,70,50,1,,0
9016,MH-3900,70,46,0,RD-1200,24
9057,MH-3900,63,52,0,RD-1200,11
9072,MH-3900,56,46,0,RD-1200,10
9095,BD-0100,56,56,0,AM-3100,0
9101,MH-3900,63,44,0,RD-1200,19
9170,BD-0100,10,10,0,,0
9178,DK-0500,71,52,0,RB-1100,19
9190,DK-0500,70,49,0,SM-0100,21
9236,SL-0600,65,45,1,,0
9246,DK-0500,71,50,0,RB-1100,21
9257,DK-0500,55,45,0,SM-0100,10
9266,SL-0600,55,34,0,PW-1100,21
9268,SL-0600,70,22,0,JP-1300,48
9289,DK-0500,70,50,1,,0
9302,BB-0800,64,43,0,PW-1100,21
9313,DK-0500,70,35,0,SM-0100,35
9325,DK-0500,72,52,0,SM-0100,20
9334,DK-0500,64,54,0,RB-1100,10
9353,SC-0700,56,51,0,JP-1300,5
9370,SC-0700,63,46,0,JP-1300,17
9389,SC-0700,62,48,0,JP-1300,14
9400,SC-0700,47,47,0,DM-0100,0
9411,DK-0500,70,46,0,CW-0900,24
9426,DK-0500,62,47,0,CW-0900,15
9462,DK-0500,55,35,1,,0
9498,SC-0700,57,39,0,JP-1300,18
9507,RC-2900,63,52,0,JT-3900,11
9546,RC-2900,68,44,0,JT-3900,24
9559,KW-0200,52,47,0,JT-3900,5
9570,MK-1100,67,42,0,MB-1000,25
9581,KW-0200,21,21,0,,0
9583,MK-1100,67,47,0,MB-1000,20
9606,MK-1100,62,40,0,MB-1000,22
9619,RC-2900,50,37,0,OS-0100,13
9650,RC-2900,64,44,0,JT-3900,20
9659,OM-0100,70,50,1,,0
9674,NR-0100,46,31,0,JW-1200,15
9691,NR-0100,60,46,0,BM-0200,14
9699,NR-0100,70,50,1,,0
9731,OM-0100,66,38,0,TM-0100,28
9735,NR-0100,66,40,0,BM-0200,26
9752,OM-0100,64,48,0,TM-0100,16
9763,OM-0100,55,42,0,TM-0100,13
9781,OM-0100,57,44,0,TM-0100,13
9795,NR-0100,71,48,0,BM-0200,23
9823,MS-5200,68,38,0,LJ-0300,30
9843,MS-5200,64,42,0,DP-0500,22
9868,MS-5200,65,40,0,LJ-0300,25
9875,MS-5200,68,45,0,DP-0500,23
9905,PD-0200,70,50,1,,0
9925,MS-5200,60,44,0,DP-0500,16
9972,AV-0400,72,51,0,CC-3300,21
9982,AV-0400,70,50,0,CC-3300,20
9993,AV-0400,70,50,1,,0
10021,JN-0600,69,53,0,KF-0200,16
10054,AV-0400,72,47,0,DO-0200,25
10058,JN-0600,68,36,0,KF-0200,32
10083,LJ-1000,67,-20,0,DO-0200,87
10085,JN-0600,72,47,0,KF-0200,25
10095,AV-0400,70,50,1,,0
10137,JN-0600,15,15,0,,0
10141,JH-0900,72,51,0,TC-1100,21
10155,JH-0900,72,49,0,TC-1100,23
10161,GA-0300,61,47,0,DH-4200,14
10208,JH-0900,70,51,0,TC-1100,19
10229,GA-0300,47,21,0,DH-4200,26
10230,GA-0300,53,41,0,BO-0200,12
10262,GA-0300,51,39,0,DH-4200,12
10272,JH-0900,68,49,0,TC-1100,19
10281,GA-0300,66,36,0,DH-4200,30
10290,GA-0300,53,40,0,BO-0200,13
10317,JH-0900,13,13,0,,0
10319,PE-0100,71,45,0,AR-1700,26
10327,PE-0100,66,39,0,AR-1700,27
10348,PE-0100,62,37,0,AR-1700,25
10376,PE-0100,65,28,0,AR-1700,37
10385,RL-1300,79,59,1,,0
10400,RL-1300,77,57,1,,0
10420,PE-0100,53,41,0,DB-3300,12
10428,RL-1300,66,32,0,GM-1100,34
10452,RL-1300,71,40,0,GM-1100,31
10465,PE-0100,64,43,0,AR-1700,21
10474,RL-1300,11,11,0,,0
10490,KB-2300,30,30,0,,0
10506,SL-0600,62,39,0,TE-0200,23
10530,KB-2300,73,53,1,,0
10550,KB-2300,69,46,0,SS-2900,23
10560,KB-2300,59,38,0,SS-2900,21
10575,SL-0600,56,37,0,TE-0200,19
10577,SL-0600,65,34,0,HP-0100,31
10602,KB-2300,64,17,0,SS-2900,47
10653,SL-0600,16,16,0,,0
10655,WR-0500,60,40,0,MJ-0700,20
10684,WR-0500,70,50,1,,0
10698,CB-1700,60,42,0,TJ-1100,18
10721,WR-0500,63,47,0,MJ-0700,16
10727,WR-0500,68,46,0,MJ-0700,22
10733,CB-1700,20,20,0,,0
10737,CB-1700,59,40,0,KW-1100,19
10760,WR-0500,59,32,0,MJ-0700,27
10783,WR-0500,69,40,0,MJ-0700,29
