pid,fgxp,fkicker,dist,good
10,XP,WR-0500,20,1
17,FG,MA-0700,43,1
34,FG,MA-0700,44,1
52,FG,MA-0700,24,1
64,FG,MA-0700,44,1
76,XP,MA-0700,20,1
86,XP,WR-0500,20,1
95,FG,MA-0700,48,1
99,XP,MA-0700,20,1
112,XP,WR-0500,20,1
123,XP,MA-0700,20,1
159,XP,WR-0500,20,1
207,XP,MH-3100,20,1
227,XP,PD-0200,20,1
241,FG,MH-3100,50,1
261,XP,MH-3100,20,1
277,FG,MH-3100,25,1
300,XP,MH-3100,20,1
324,XP,DA-0300,20,1
352,XP,DA-0300,20,1
357,XP,DA-0300,20,1
375,FG,DA-0300,33,1
387,FG,TS-1100,34,1
401,FG,TS-1100,38,1
416,FG,DA-0300,37,1
432,XP,DA-0300,20,1
440,XP,DA-0300,20,1
493,XP,RL-1300,20,1
510,XP,JH-0500,20,1
517,FG,JH-0500,52,0
541,FG,RL-1300,45,1
563,FG,JH-0500,23,1
583,FG,JH-0500,48,0
595,FG,RL-1300,42,1
618,FG,JH-0500,39,1
626,FG,RL-1300,42,1
634,XP,JH-0500,20,1
687,XP,MV-0100,20,1
710,XP,PS-0900,20,1
744,XP,MV-0100,20,1
756,XP,PS-0900,20,1
775,FG,MV-0100,23,1
780,XP,MV-0100,20,1
799,FG,MV-0100,40,1
828,XP,OM-0100,20,1
842,FG,OM-0100,48,1
851,FG,OM-0100,25,1
859,FG,OM-0100,30,1
877,FG,KH-1500,52,0
885,XP,OM-0100,20,1
969,FG,GA-0300,35,1
982,XP,PE-0100,20,1
990,FG,GA-0300,38,1
1019,FG,PE-0100,29,1
1027,FG,GA-0300,45,1
1040,FG,PE-0100,49,1
1052,XP,PE-0100,20,1
1063,XP,GA-0300,20,1
1087,XP,GA-0300,20,1
1104,XP,GA-0300,20,1
1117,XP,PE-0100,20,1
1129,FG,AV-0400,30,1
1168,XP,MG-1200,20,1
1178,XP,AV-0400,20,1
1198,XP,MG-1200,20,1
1203,FG,AV-0400,55,0
1235,XP,MG-1200,20,1
1307,XP,DB-3900,20,1
1351,FG,JH-0900,24,1
1362,FG,JH-0900,30,1
1416,FG,DB-3900,48,1
1435,FG,DB-3900,52,0
1492,XP,BD-0100,20,1
1510,XP,BD-0100,20,1
1573,FG,CB-1700,32,1
1590,XP,BD-0100,20,1
1610,XP,CB-1700,20,1
1700,FG,SJ-0300,41,0
1785,XP,SJ-0300,20,1
1812,FG,MS-5200,23,1
1820,XP,MS-5200,20,1
1866,FG,MS-5200,26,1
1875,FG,MS-5200,33,1
1884,FG,KB-2300,45,0
1963,XP,BC-2300,20,1
1965,XP,RC-2900,20,1
1980,FG,RC-2900,29,1
2022,FG,RC-2900,27,0
2054,FG,BC-2300,24,1
2076,XP,BC-2300,20,1
2091,FG,BC-2300,21,1
2102,XP,RC-2900,20,1
2148,XP,SC-0700,20,1
2166,FG,AD-0800,38,1
2178,FG,SC-0700,51,0
2185,FG,AD-0800,27,1
2218,FG,SC-0700,42,1
2230,FG,SC-0700,41,1
2246,XP,AD-0800,20,1
2273,FG,SC-0700,33,1
2277,FG,CH-2900,60,0
2289,XP,JE-0200,20,1
2305,XP,JW-3300,20,1
2315,FG,JE-0200,32,1
2326,XP,JW-3300,20,1
2338,XP,JE-0200,20,1
2349,XP,JW-3300,20,1
2362,FG,JE-0200,38,1
2366,XP,JW-3300,20,1
2380,XP,JW-3300,20,1
2389,XP,JE-0200,20,1
2408,FG,JE-0200,36,1
2439,FG,MH-3100,36,1
2451,XP,MH-3100,20,1
2466,XP,MH-3100,20,1
2476,XP,MS-5200,20,1
2504,FG,MH-3100,45,1
2517,FG,MH-3100,48,1
2549,FG,MH-3100,34,1
2563,XP,MS-5200,20,1
2581,XP,MS-5200,20,1
2589,FG,MS-5200,44,1
2599,FG,MH-3100,48,1
2609,XP,MH-3100,20,1
2618,XP,MS-5200,20,1
2691,FG,SC-0700,45,1
2698,XP,SC-0700,20,1
2707,XP,RL-1300,20,1
2716,FG,SC-0700,20,1
2729,FG,RL-1300,24,1
2740,XP,SC-0700,20,1
2811,XP,PD-0200,20,1
2823,XP,NR-0100,20,1
2833,XP,PD-0200,20,1
2841,FG,NR-0100,42,0
2886,FG,PD-0200,30,1
2912,XP,PD-0200,20,1
2968,XP,JE-0200,20,1
2973,FG,JE-0200,29,1
2987,FG,JE-0200,51,1
3001,XP,JE-0200,20,1
3014,XP,JE-0200,20,1
3036,XP,JE-0200,20,1
3038,XP,MA-0700,20,1
3073,XP,MA-0700,20,1
3129,FG,JH-0900,49,1
3154,FG,JH-0900,20,1
3171,XP,BC-2300,20,1
3205,FG,JH-0900,54,1
3214,FG,BC-2300,26,1
3226,FG,JH-0900,37,1
3240,FG,JH-0900,35,1
3276,XP,MV-0100,20,1
3290,XP,MV-0100,20,1
3299,FG,SJ-0300,50,0
3311,XP,MV-0100,20,1
3323,FG,MV-0100,47,0
3333,XP,SJ-0300,20,1
3347,FG,MV-0100,31,1
3358,XP,SJ-0300,20,1
3367,FG,SJ-0300,24,1
3376,XP,SJ-0300,20,1
3387,XP,SJ-0300,20,1
3407,XP,SJ-0300,20,1
3415,XP,MV-0100,20,1
3458,FG,GA-0300,28,1
3547,FG,GA-0300,49,1
3576,XP,GA-0300,20,1
3584,XP,OM-0100,20,1
3613,FG,BD-0100,32,1
3629,FG,BD-0100,36,1
3647,FG,DA-0300,33,1
3658,XP,BD-0100,20,1
3667,XP,BD-0100,20,1
3682,FG,DA-0300,29,1
3694,XP,BD-0100,20,1
3703,XP,DA-0300,20,0
3715,FG,BD-0100,44,1
3727,FG,BD-0100,23,1
3765,FG,JC-0900,42,1
3776,XP,DB-3900,20,1
3784,XP,JC-0900,20,1
3808,XP,JC-0900,20,1
3823,FG,DB-3900,20,1
3825,XP,JC-0900,20,1
3835,FG,DB-3900,20,1
3870,FG,DB-3900,31,1
3891,FG,JC-0900,49,1
3924,XP,RC-2900,20,1
3937,XP,RC-2900,20,1
3960,XP,RC-2900,20,1
3976,XP,RC-2900,20,1
4000,XP,WR-0500,20,1
4009,XP,RC-2900,20,1
4017,FG,RC-2900,24,1
4039,XP,WR-0500,20,1
4100,FG,KH-1500,19,1
4111,FG,JW-3300,48,1
4129,XP,KH-1500,20,1
4138,FG,JW-3300,48,1
4156,XP,JW-3300,20,1
4172,XP,KH-1500,20,1
4183,XP,JW-3300,20,1
4192,FG,KH-1500,43,1
4201,XP,JW-3300,20,1
4211,XP,KH-1500,20,1
4219,XP,JW-3300,20,1
4229,XP,KH-1500,20,1
4238,FG,JW-3300,27,1
4269,FG,MG-1200,50,0
4289,FG,MG-1200,23,1
4305,FG,MG-1200,47,1
4312,XP,MG-1200,20,1
4317,XP,MG-1200,20,1
4339,XP,MG-1200,20,1
4346,XP,MG-1200,20,1
4375,XP,MG-1200,20,1
4384,FG,PE-0100,42,0
4464,XP,AD-0800,20,1
4473,XP,PS-0900,20,1
4495,FG,PS-0900,36,0
4508,XP,PS-0900,20,1
4548,XP,AD-0800,20,1
4565,FG,AD-0800,36,1
4577,FG,CB-1700,19,1
4588,XP,TS-1100,20,1
4606,XP,CB-1700,20,1
4613,XP,TS-1100,20,1
4631,XP,TS-1100,20,1
4637,FG,CB-1700,54,1
4651,FG,TS-1100,44,1
4664,XP,CB-1700,20,1
4670,FG,CB-1700,35,1
4684,XP,TS-1100,20,1
4694,FG,CB-1700,51,1
4728,FG,AV-0400,32,1
4742,XP,JH-0500,20,1
4756,FG,AV-0400,35,1
4762,FG,AV-0400,30,1
4788,FG,AV-0400,33,1
4820,FG,AV-0400,29,0
4854,XP,AV-0400,20,1
4866,XP,JH-0500,20,1
4902,FG,MA-0700,31,1
4912,FG,RC-2900,25,0
4921,FG,MA-0700,50,0
4932,XP,MA-0700,20,1
4947,FG,RC-2900,33,1
4962,XP,RC-2900,20,1
4978,FG,MA-0700,47,0
5027,FG,MA-0700,27,1
5049,XP,BD-0100,20,1
5075,FG,PE-0100,49,0
5086,FG,BD-0100,34,0
5100,FG,BD-0100,41,0
5113,XP,PE-0100,20,1
5142,XP,BD-0100,20,1
5190,FG,BD-0100,31,0
5204,XP,PD-0200,20,1
5219,XP,PD-0200,20,1
5233,XP,KB-2300,20,1
5264,FG,KB-2300,41,1
5276,FG,KB-2300,31,1
5284,FG,PD-0200,23,1
5294,XP,KB-2300,20,1
5318,FG,PD-0200,28,1
5338,FG,PD-0200,19,1
5355,FG,JH-0900,38,1
5374,XP,MG-1200,20,1
5389,XP,MG-1200,20,1
5398,FG,JH-0900,34,0
5421,XP,MG-1200,20,1
5434,FG,MG-1200,38,0
5437,XP,JH-0900,20,1
5460,FG,MG-1200,24,1
5491,XP,MG-1200,20,1
5571,FG,DA-0300,43,1
5589,FG,RL-1300,40,0
5612,FG,RL-1300,37,1
5666,FG,RL-1300,38,1
5686,XP,SL-0600,20,1
5691,FG,SL-0600,30,1
5720,FG,NR-0100,44,0
5749,FG,NR-0100,47,0
5773,FG,SL-0600,33,0
5828,FG,SL-0600,19,1
5854,XP,JC-0900,20,1
5881,FG,JC-0900,54,1
5897,XP,PS-0900,20,1
5923,XP,PS-0900,20,1
5940,FG,JC-0900,51,0
5948,XP,PS-0900,20,1
5957,XP,PS-0900,20,1
5975,XP,PS-0900,20,1
5998,XP,PS-0900,20,1
6025,XP,GA-0300,20,1
6033,XP,AV-0400,20,1
6054,XP,GA-0300,20,1
6067,XP,GA-0300,20,1
6077,FG,AV-0400,44,0
6193,XP,SC-0700,20,1
6195,XP,JH-0500,20,1
6227,XP,JH-0500,20,1
6248,XP,SC-0700,20,1
6257,XP,JH-0500,20,1
6268,FG,SC-0700,43,0
6275,FG,JH-0500,51,1
6309,FG,JH-0500,33,0
6325,FG,JH-0500,27,1
6350,XP,JN-0600,20,1
6353,XP,JN-0600,20,1
6360,FG,JN-0600,24,1
6370,XP,SJ-0300,20,1
6379,XP,JN-0600,20,1
6387,FG,SJ-0300,19,1
6394,XP,SJ-0300,20,1
6400,XP,SJ-0300,20,1
6442,FG,JN-0600,32,1
6457,FG,JN-0600,22,1
6467,FG,SJ-0300,49,0
6475,FG,JN-0600,21,1
6502,XP,KH-1500,20,1
6520,XP,DB-3900,20,1
6534,FG,KH-1500,37,0
6547,FG,DB-3900,23,1
6570,FG,KH-1500,31,1
6599,XP,KH-1500,20,1
6612,FG,KH-1500,45,1
6633,XP,WR-0500,20,1
6641,FG,JW-3300,47,1
6674,FG,WR-0500,21,1
6691,XP,JW-3300,20,1
6698,XP,WR-0500,20,1
6701,XP,JW-3300,20,1
6725,XP,JW-3300,20,1
6743,FG,JW-3300,25,1
6753,XP,WR-0500,20,1
6763,XP,JW-3300,20,1
6780,XP,JW-3300,20,1
6810,FG,OM-0100,42,1
6825,FG,OM-0100,41,1
6860,FG,MS-5200,30,0
6867,XP,OM-0100,20,1
6881,FG,MS-5200,27,1
6891,XP,OM-0100,20,0
6900,FG,MS-5200,33,1
6942,XP,MH-3900,20,1
6957,XP,TS-1100,20,1
6974,XP,TS-1100,20,1
7017,FG,TS-1100,32,1
7032,XP,MH-3900,20,1
7059,XP,TS-1100,20,1
7071,XP,MH-3900,20,1
7086,FG,TS-1100,38,1
7122,XP,RL-1300,20,1
7136,XP,RL-1300,20,1
7147,FG,CB-1700,31,1
7160,FG,RL-1300,38,1
7187,FG,RL-1300,47,1
7206,FG,RL-1300,48,1
7221,FG,RL-1300,37,1
7228,FG,RL-1300,22,1
7265,XP,MA-0700,20,1
7276,FG,JW-3300,30,1
7297,XP,JW-3300,20,1
7322,FG,MA-0700,37,1
7326,XP,JW-3300,20,1
7339,FG,MA-0700,45,1
7347,XP,JW-3300,20,1
7352,FG,JW-3300,30,1
7380,XP,JW-3300,20,1
7386,XP,MA-0700,20,1
7389,XP,JW-3300,20,1
7423,FG,MS-5200,30,1
7442,XP,MS-5200,20,1
7447,XP,MS-5200,20,1
7477,XP,MS-5200,20,1
7518,FG,MS-5200,37,1
7549,XP,MS-5200,20,1
7564,FG,MS-5200,19,1
7594,XP,JH-0900,20,1
7654,XP,JH-0900,20,1
7667,FG,JH-0900,32,0
7675,XP,PE-0100,20,1
7696,XP,PE-0100,20,1
7715,XP,JH-0900,20,1
7778,FG,WR-0500,38,1
7788,FG,TS-1100,40,1
7800,XP,WR-0500,20,1
7811,XP,WR-0500,20,1
7817,XP,TS-1100,20,1
7830,XP,WR-0500,20,1
7837,FG,WR-0500,47,1
7862,XP,WR-0500,20,1
7872,XP,TS-1100,20,1
7887,XP,WR-0500,20,1
7893,XP,TS-1100,20,1
7915,XP,PS-0900,20,1
7930,FG,JN-0600,22,1
7948,FG,JN-0600,20,1
7966,FG,JN-0600,50,0
7984,XP,JN-0600,20,1
7995,XP,PS-0900,20,1
8002,FG,JN-0600,43,1
8033,FG,PS-0900,42,1
8092,FG,AV-0400,40,1
8100,XP,OM-0100,20,1
8132,FG,OM-0100,43,1
8181,FG,AV-0400,53,0
8227,XP,DB-3900,20,1
8252,XP,DA-0300,20,1
8256,XP,DA-0300,20,1
8321,XP,DA-0300,20,1
8383,XP,PD-0200,20,1
8392,XP,SJ-0300,20,1
8411,XP,SJ-0300,20,1
8429,FG,PD-0200,42,0
8444,XP,SJ-0300,20,1
8448,XP,SJ-0300,20,1
8479,FG,PD-0200,29,1
8490,FG,SJ-0300,37,1
8506,FG,SJ-0300,31,1
8542,XP,AD-0800,20,1
8552,FG,KB-2300,32,1
8564,FG,AD-0800,24,1
8578,FG,KB-2300,32,1
8628,FG,AD-0800,40,1
8646,XP,KB-2300,20,1
8652,FG,AD-0800,40,1
8667,XP,KB-2300,20,1
8688,XP,AD-0800,20,1
8695,FG,KB-2300,50,0
8709,FG,KH-1500,25,1
8721,FG,JC-0900,41,1
8727,FG,JC-0900,28,1
8731,XP,KH-1500,20,1
8764,FG,JC-0900,24,1
8776,FG,KH-1500,26,1
8781,FG,JC-0900,45,1
8800,XP,KH-1500,20,1
8837,FG,KH-1500,34,0
8875,FG,MG-1200,22,1
8887,FG,JH-0500,41,1
8902,XP,MG-1200,20,1
8925,FG,JH-0500,27,1
8959,XP,MG-1200,20,1
9010,XP,JH-0500,20,1
9056,XP,MH-3900,20,1
9071,FG,MH-3900,25,1
9100,XP,MH-3900,20,0
9135,FG,MH-3900,30,0
9189,XP,MV-0100,20,1
9235,XP,SL-0600,20,1
9245,XP,MV-0100,20,1
9256,XP,MV-0100,20,1
9265,XP,SL-0600,20,1
9288,FG,MV-0100,41,1
9312,FG,MV-0100,22,1
9324,XP,MV-0100,20,1
9333,XP,MV-0100,20,1
9369,FG,SC-0700,19,1
9388,FG,SC-0700,30,1
9399,FG,SC-0700,27,1
9410,XP,MV-0100,20,1
9497,XP,SC-0700,20,1
9506,FG,MV-0100,45,1
9545,XP,RC-2900,20,1
9580,FG,RC-2900,39,1
9605,FG,TS-1100,27,1
9618,FG,RC-2900,23,1
9644,FG,TS-1100,45,0
9658,FG,TS-1100,24,1
9673,XP,NR-0100,20,1
9690,FG,NR-0100,23,1
9698,FG,NR-0100,38,1
9730,FG,OM-0100,40,1
9734,XP,OM-0100,20,1
9751,XP,OM-0100,20,1
9762,XP,OM-0100,20,1
9780,XP,OM-0100,20,1
9794,FG,NR-0100,34,1
9842,FG,MS-5200,45,1
9867,FG,MS-5200,30,1
9874,FG,MS-5200,44,1
9891,FG,MS-5200,51,0
9924,FG,MS-5200,22,1
9981,XP,AV-0400,20,1
9992,XP,AV-0400,20,1
10020,FG,JN-0600,20,1
10053,XP,AV-0400,20,1
10094,XP,AV-0400,20,1
10120,FG,JN-0600,43,0
10154,XP,JH-0900,20,1
10160,XP,GA-0300,20,1
10207,FG,JH-0900,21,1
10228,FG,GA-0300,20,1
10242,FG,JH-0900,43,0
10261,XP,GA-0300,20,1
10271,XP,JH-0900,20,1
10280,XP,GA-0300,20,1
10289,XP,GA-0300,20,1
10316,XP,JH-0900,20,1
10326,XP,PE-0100,20,1
10347,FG,PE-0100,19,1
10375,XP,PE-0100,20,1
10384,FG,RL-1300,42,1
10399,FG,PE-0100,42,0
10419,XP,PE-0100,20,1
10427,XP,RL-1300,20,1
10451,XP,RL-1300,20,1
10464,FG,PE-0100,47,1
10473,XP,RL-1300,20,1
10505,FG,SL-0600,19,1
10529,XP,KB-2300,20,1
10549,FG,KB-2300,19,1
10559,XP,KB-2300,20,1
10574,FG,SL-0600,48,1
10601,XP,KB-2300,20,1
10652,XP,SL-0600,20,1
10671,FG,CB-1700,51,0
10683,XP,WR-0500,20,1
10697,FG,CB-1700,32,1
10720,FG,WR-0500,33,1
10726,XP,WR-0500,20,1
10732,XP,CB-1700,20,1
10759,XP,WR-0500,20,1
10782,FG,WR-0500,29,1
10797,FG,CB-1700,27,1
10812,XP,CB-1700,20,1
10828,FG,JW-3300,51,1
10843,XP,JW-3300,20,1
10847,XP,JW-3300,20,1
10858,FG,JC-0900,37,1
10869,FG,JW-3300,21,1
10882,XP,JC-0900,20,1
10892,XP,JW-3300,20,1
10900,FG,JC-0900,49,0
10907,FG,JW-3300,31,1
10917,XP,JC-0900,20,1
10921,XP,JW-3300,20,1
10931,FG,JW-3300,33,1
10941,XP,JW-3300,20,1
10955,FG,JW-3300,20,1
10966,XP,JC-0900,20,1
10975,XP,JW-3300,20,1
10980,XP,JC-0900,20,1
10999,XP,AD-0800,20,1
11033,XP,AD-0800,20,1
11048,XP,AD-0800,20,1
11064,FG,AD-0800,46,0
11087,XP,JH-5000,20,1
11103,XP,AD-0800,20,1
11122,XP,JH-5000,20,1
11183,XP,MG-1200,20,1
11223,XP,MH-3900,20,1
11253,FG,MH-3900,28,1
11276,FG,MG-1200,40,0
11298,XP,MH-3900,20,1
11307,XP,MG-1200,20,1
11313,FG,MH-3900,35,0
11319,FG,MG-1200,42,1
11332,FG,MH-3900,20,1
11342,FG,DA-0300,39,1
11410,FG,DA-0300,38,1
11443,XP,MA-0700,20,1
11452,FG,DA-0300,19,1
11467,XP,DA-0300,20,1
11474,FG,MA-0700,48,1
11476,XP,DA-0300,20,1
11494,XP,DA-0300,20,1
11511,FG,PS-0900,37,0
11533,XP,RL-0900,20,1
11554,XP,PS-0900,20,1
11569,XP,RL-0900,20,1
11598,FG,RL-0900,27,1
11612,XP,PS-0900,20,1
11628,FG,PS-0900,27,1
11648,XP,PS-0900,20,1
11695,XP,PD-0200,20,1
11702,XP,PD-0200,20,1
11709,XP,CB-1700,20,1
11736,FG,CB-1700,36,1
11744,FG,PD-0200,42,0
11761,FG,CB-1700,47,1
11776,XP,CB-1700,20,1
11786,XP,PD-0200,20,1
11809,FG,CB-1700,28,1
11837,XP,JH-5000,20,1
11855,FG,JH-5000,34,1
11879,FG,MA-0700,42,1
11886,FG,MA-0700,45,0
11895,FG,JH-5000,27,1
11908,FG,MA-0700,28,1
12005,XP,JN-0600,20,1
12025,XP,JN-0600,20,1
12048,FG,JN-0600,44,1
12063,FG,JN-0600,42,1
12089,FG,JN-0600,22,1
12099,FG,RL-0900,42,1
12113,FG,JN-0600,29,1
12124,FG,JN-0600,34,0
12152,XP,PE-0100,20,1
12165,FG,PE-0100,30,0
12180,XP,DB-3900,20,1
12196,XP,DB-3900,20,1
12211,FG,DB-3900,44,1
12257,XP,DB-3900,20,1
12267,FG,PE-0100,38,1
12280,XP,DB-3900,20,1
12324,FG,AD-0800,22,1
12351,XP,NR-0100,20,1
12367,XP,AD-0800,20,1
12376,FG,NR-0100,35,0
12379,XP,NR-0100,20,1
12403,XP,AD-0800,20,1
12417,FG,AD-0800,41,1
12442,FG,AD-0800,33,0
12457,FG,AD-0800,34,1
12467,FG,NR-0100,46,0
12476,FG,JH-0900,30,1
12484,XP,JH-0900,20,1
12507,FG,RL-1300,44,1
12521,XP,JH-0900,20,1
12543,XP,JH-0900,20,1
12550,FG,RL-1300,51,1
12569,FG,RL-1300,31,1
12577,XP,JH-0900,20,1
12608,XP,RL-1300,20,1
12642,FG,OM-0100,30,1
12658,FG,SC-0700,45,1
12683,FG,OM-0100,33,1
12696,XP,OM-0100,20,1
12751,FG,SC-0700,23,1
12761,XP,SC-0700,20,1
12770,XP,OM-0100,20,1
12800,FG,AV-0400,21,1
12840,XP,MV-0100,20,1
12861,FG,MV-0100,33,1
12864,XP,AV-0400,20,1
12888,FG,MV-0100,33,1
12901,XP,AV-0400,20,1
12922,XP,AV-0400,20,1
12959,FG,MV-0100,34,1
12997,FG,KB-2300,43,1
13012,FG,JH-0500,29,0
13027,XP,KB-2300,20,1
13037,FG,JH-0500,40,1
13079,XP,KB-2300,20,1
13099,FG,KB-2300,29,1
13119,XP,MH-3900,20,1
13156,FG,MH-3900,33,0
13181,XP,DA-0300,20,1
13214,FG,MH-3900,42,0
13228,XP,DA-0300,20,1
13239,XP,MH-3900,20,1
13270,FG,MH-3900,24,1
13288,XP,JE-0200,20,1
13337,FG,JC-0900,34,0
13352,XP,JC-0900,20,1
13384,XP,JE-0200,20,1
13440,XP,JE-0200,20,1
13456,FG,SJ-0300,23,1
13502,FG,SJ-0300,35,1
13516,XP,WR-0500,20,1
13542,XP,WR-0500,20,1
13569,XP,SJ-0300,20,1
13584,XP,SJ-0300,20,1
13595,XP,WR-0500,20,1
13603,XP,WR-0500,20,1
13613,FG,SJ-0300,41,0
13635,FG,SJ-0300,35,0
13645,FG,WR-0500,29,0
13671,FG,SL-0600,49,1
13689,FG,MS-5200,47,1
13711,FG,SL-0600,31,0
13739,FG,MS-5200,32,1
13748,FG,MS-5200,43,1
13786,FG,MS-5200,21,1
13800,FG,MS-5200,24,1
13814,XP,SL-0600,20,1
13835,XP,GA-0300,20,1
13859,XP,MG-1200,20,1
13871,FG,GA-0300,37,1
13876,XP,GA-0300,20,1
13898,FG,MG-1200,23,1
13906,FG,MG-1200,53,0
13916,FG,GA-0300,42,1
13925,FG,MG-1200,33,1
13941,FG,MG-1200,35,1
13951,FG,GA-0300,51,0
13952,XP,MG-1200,20,1
13960,XP,GA-0300,20,1
13978,FG,GA-0300,19,1
14009,XP,DA-0300,20,1
14030,FG,DA-0300,31,1
14057,XP,DA-0300,20,1
14073,XP,DA-0300,20,1
14086,XP,CB-1700,20,1
14109,XP,CB-1700,20,1
14127,XP,DA-0300,20,0
14136,FG,DA-0300,29,1
14176,FG,JC-0900,36,1
14183,XP,SC-0700,20,1
14193,XP,SC-0700,20,1
14198,XP,JC-0900,20,1
14237,XP,JC-0900,20,1
14246,XP,JC-0900,20,1
14272,XP,SC-0700,20,1
14315,FG,SC-0700,29,1
14339,FG,SC-0700,46,1
14346,FG,JE-0200,22,1
14377,FG,PD-0200,45,1
14387,FG,JE-0200,45,0
14399,XP,JE-0200,20,1
14412,XP,JE-0200,20,1
14430,FG,JE-0200,45,1
14442,XP,PD-0200,20,1
14447,XP,JE-0200,20,1
14458,XP,JE-0200,20,1
14478,XP,JE-0200,20,1
14490,FG,JE-0200,46,1
14547,XP,RL-1300,20,1
14578,XP,WR-0500,20,1
14592,XP,RL-1300,20,1
14607,XP,RL-1300,20,1
14621,XP,WR-0500,20,1
14640,XP,WR-0500,20,1
14650,XP,RL-1300,20,1
14658,XP,WR-0500,20,1
14669,FG,RL-1300,35,1
14698,XP,SJ-0300,20,1
14708,FG,TP-1200,44,0
14716,FG,SJ-0300,47,0
14728,FG,TP-1200,27,1
14739,XP,TP-1200,20,1
14754,XP,TP-1200,20,1
14757,FG,SJ-0300,59,0
14767,FG,SJ-0300,47,1
14804,XP,SJ-0300,20,1
14834,FG,SJ-0300,43,1
14854,XP,JH-0500,20,1
14858,XP,JH-0500,20,1
14870,FG,AV-0400,23,1
14894,XP,AV-0400,20,1
14912,XP,JH-0500,20,1
14923,FG,JH-0500,38,1
14946,XP,JH-0500,20,1
14971,FG,JH-0500,46,0
14978,XP,AV-0400,20,1
14992,FG,JH-0500,27,1
15036,FG,DB-3900,51,0
15052,XP,DB-3900,20,1
15083,FG,JN-0600,52,1
15097,FG,DB-3900,29,1
15100,FG,JN-0600,46,1
15159,XP,DB-3900,20,1
15168,XP,DB-3900,20,1
15234,XP,BD-0100,20,1
15267,FG,BD-0100,24,1
15272,XP,TS-1100,20,1
15281,FG,BD-0100,20,1
15291,XP,TS-1100,20,1
15348,XP,KB-2300,20,1
15426,FG,KB-2300,36,1
15469,FG,KB-2300,28,1
15528,XP,MV-0100,20,1
15537,FG,RL-0900,21,0
15553,FG,MV-0100,23,1
15562,XP,RL-0900,20,1
15570,XP,MV-0100,20,1
15584,XP,RL-0900,20,1
15595,FG,MV-0100,38,1
15599,FG,RL-0900,51,1
15613,XP,MV-0100,20,1
15631,XP,MV-0100,20,1
15644,FG,MV-0100,40,1
15660,XP,RL-0900,20,1
15678,XP,MA-0700,20,1
15680,XP,JW-3300,20,1
15692,XP,MA-0700,20,1
15747,XP,MA-0700,20,1
15902,FG,KH-1500,37,1
15915,FG,MS-5200,51,1
15959,XP,KH-1500,20,1
16048,FG,PE-0100,22,1
16051,XP,GA-0300,20,1
16061,XP,GA-0300,20,1
16090,XP,GA-0300,20,1
16115,XP,PE-0100,20,1
16126,XP,GA-0300,20,1
16169,FG,MH-3100,23,1
16177,XP,AD-0800,20,1
16193,XP,AD-0800,20,1
16207,FG,AD-0800,26,1
16242,XP,AD-0800,20,1
16254,FG,AD-0800,44,0
16267,FG,MH-3100,45,1
16288,FG,AD-0800,28,1
16300,XP,MH-3100,20,1
16317,FG,MG-1200,27,1
16327,FG,MG-1200,43,1
16360,FG,JH-0900,32,1
16366,FG,MG-1200,50,1
16394,FG,JH-0900,47,1
16423,FG,JH-0900,40,0
16429,FG,MG-1200,55,1
16450,XP,JH-0900,20,1
16461,XP,JH-0900,20,1
16478,FG,MA-0700,50,1
16493,XP,DB-3900,20,1
16519,FG,MA-0700,33,0
16526,FG,MA-0700,44,1
16538,XP,MA-0700,20,1
16569,XP,DB-3900,20,1
16604,XP,DB-3900,20,1
16637,FG,MS-5200,21,1
16660,FG,MS-5200,38,1
16690,XP,AD-0800,20,1
16703,XP,AD-0800,20,1
16793,XP,JN-0600,20,1
16812,XP,WR-0500,20,0
16826,XP,JN-0600,20,1
16830,XP,JN-0600,20,1
16838,XP,WR-0500,20,1
16852,FG,JN-0600,30,1
16871,XP,JN-0600,20,1
16887,FG,WR-0500,38,1
16917,FG,JN-0600,38,1
16956,XP,JE-0200,20,1
16985,FG,NR-0100,24,1
17005,XP,JE-0200,20,1
17008,XP,NR-0100,20,1
17019,FG,JE-0200,48,0
17042,XP,NR-0100,20,1
17069,FG,JE-0200,48,0
17089,XP,NR-0100,20,1
17094,XP,JE-0200,20,1
17103,XP,NR-0100,20,1
17141,XP,TS-1100,20,1
17147,XP,TS-1100,20,1
17160,XP,TS-1100,20,1
17184,FG,TS-1100,32,1
17194,FG,TS-1100,23,1
17210,XP,TS-1100,20,1
17219,XP,TS-1100,20,1
17235,XP,TS-1100,20,1
17253,XP,CB-1700,20,1
17287,XP,AV-0400,20,1
17295,XP,MV-0100,20,1
17312,FG,AV-0400,27,1
17337,FG,AV-0400,26,1
17355,FG,AV-0400,28,1
17358,XP,MV-0100,20,1
17369,XP,AV-0400,20,1
17398,XP,MV-0100,20,1
17420,FG,MV-0100,36,1
17436,XP,KH-1500,20,1
17453,FG,MH-3100,23,1
17470,XP,MH-3100,20,1
17479,XP,KH-1500,20,1
17490,XP,KH-1500,20,1
17499,FG,MH-3100,33,1
17510,FG,MH-3100,51,1
17529,XP,KH-1500,20,1
17577,XP,KH-1500,20,1
17598,XP,TP-1200,20,1
17609,FG,TP-1200,34,1
17620,FG,TP-1200,20,1
17627,XP,TP-1200,20,1
17645,XP,PS-0900,20,1
17654,XP,TP-1200,20,1
17659,XP,PS-0900,20,1
17674,FG,TP-1200,42,0
17686,XP,TP-1200,20,1
17698,XP,PS-0900,20,1
